threshold,pending_count,pending_ratio,exact_match_acc_human_100%,exact_match_acc_human_90%,exact_match_acc_human_80%
0.1745,45,0.1402,0.9439,0.9299,0.9159
0.175,45,0.1402,0.9439,0.9299,0.9159
0.1755,45,0.1402,0.9439,0.9299,0.9159
0.176,45,0.1402,0.9439,0.9299,0.9159
0.1765,45,0.1402,0.9439,0.9299,0.9159
0.177,45,0.1402,0.9439,0.9299,0.9159
0.1775,45,0.1402,0.9439,0.9299,0.9159
0.178,45,0.1402,0.9439,0.9299,0.9159
0.1785,45,0.1402,0.9439,0.9299,0.9159
0.179,45,0.1402,0.9439,0.9299,0.9159
0.1795,45,0.1402,0.9439,0.9299,0.9159
0.18,45,0.1402,0.9439,0.9299,0.9159
0.1805,45,0.1402,0.9439,0.9299,0.9159
0.181,45,0.1402,0.9439,0.9299,0.9159
0.1815,45,0.1402,0.9439,0.9299,0.9159
0.182,45,0.1402,0.9439,0.9299,0.9159
0.1825,45,0.1402,0.9439,0.9299,0.9159
0.183,45,0.1402,0.9439,0.9299,0.9159
0.1835,45,0.1402,0.9439,0.9299,0.9159
0.184,45,0.1402,0.9439,0.9299,0.9159
0.1845,45,0.1402,0.9439,0.9299,0.9159
0.185,45,0.1402,0.9439,0.9299,0.9159
0.1855,45,0.1402,0.9439,0.9299,0.9159
0.186,45,0.1402,0.9439,0.9299,0.9159
0.1865,44,0.1371,0.9439,0.9302,0.9165
0.187,44,0.1371,0.9439,0.9302,0.9165
0.1875,44,0.1371,0.9439,0.9302,0.9165
0.188,44,0.1371,0.9439,0.9302,0.9165
0.1885,44,0.1371,0.9439,0.9302,0.9165
0.189,44,0.1371,0.9439,0.9302,0.9165
0.1895,44,0.1371,0.9439,0.9302,0.9165
0.19,44,0.1371,0.9439,0.9302,0.9165
0.1905,44,0.1371,0.9439,0.9302,0.9165
0.191,44,0.1371,0.9439,0.9302,0.9165
0.1915,44,0.1371,0.9439,0.9302,0.9165
0.192,44,0.1371,0.9439,0.9302,0.9165
0.1925,44,0.1371,0.9439,0.9302,0.9165
0.193,44,0.1371,0.9439,0.9302,0.9165
0.1935,44,0.1371,0.9439,0.9302,0.9165
0.194,44,0.1371,0.9439,0.9302,0.9165
0.1945,44,0.1371,0.9439,0.9302,0.9165
0.195,44,0.1371,0.9439,0.9302,0.9165
0.1955,44,0.1371,0.9439,0.9302,0.9165
0.196,44,0.1371,0.9439,0.9302,0.9165
0.1965,44,0.1371,0.9439,0.9302,0.9165
0.197,44,0.1371,0.9439,0.9302,0.9165
0.1975,44,0.1371,0.9439,0.9302,0.9165
0.198,44,0.1371,0.9439,0.9302,0.9165
0.1985,44,0.1371,0.9439,0.9302,0.9165
0.199,44,0.1371,0.9439,0.9302,0.9165
0.1995,44,0.1371,0.9439,0.9302,0.9165
0.2,44,0.1371,0.9439,0.9302,0.9165
0.2005,44,0.1371,0.9439,0.9302,0.9165
0.201,44,0.1371,0.9439,0.9302,0.9165
0.2015,44,0.1371,0.9439,0.9302,0.9165
0.202,44,0.1371,0.9439,0.9302,0.9165
0.2025,44,0.1371,0.9439,0.9302,0.9165
0.203,43,0.134,0.9439,0.9305,0.9171
0.2035,43,0.134,0.9439,0.9305,0.9171
0.204,43,0.134,0.9439,0.9305,0.9171
0.2045,43,0.134,0.9439,0.9305,0.9171
0.205,43,0.134,0.9439,0.9305,0.9171
0.2055,43,0.134,0.9439,0.9305,0.9171
0.206,43,0.134,0.9439,0.9305,0.9171
0.2065,43,0.134,0.9439,0.9305,0.9171
0.207,43,0.134,0.9439,0.9305,0.9171
0.2075,43,0.134,0.9439,0.9305,0.9171
0.208,43,0.134,0.9439,0.9305,0.9171
0.2085,42,0.1308,0.9408,0.9277,0.9146
0.209,42,0.1308,0.9408,0.9277,0.9146
0.2095,41,0.1277,0.9377,0.9249,0.9121
0.21,40,0.1246,0.9346,0.9221,0.9097
0.2105,40,0.1246,0.9346,0.9221,0.9097
0.211,40,0.1246,0.9346,0.9221,0.9097
0.2115,40,0.1246,0.9346,0.9221,0.9097
0.212,40,0.1246,0.9346,0.9221,0.9097
0.2125,40,0.1246,0.9346,0.9221,0.9097
0.213,40,0.1246,0.9346,0.9221,0.9097
0.2135,39,0.1215,0.9346,0.9224,0.9103
0.214,39,0.1215,0.9346,0.9224,0.9103
0.2145,39,0.1215,0.9346,0.9224,0.9103
0.215,38,0.1184,0.9346,0.9227,0.9109
0.2155,38,0.1184,0.9346,0.9227,0.9109
0.216,38,0.1184,0.9346,0.9227,0.9109
0.2165,38,0.1184,0.9346,0.9227,0.9109
0.217,38,0.1184,0.9346,0.9227,0.9109
0.2175,38,0.1184,0.9346,0.9227,0.9109
0.218,38,0.1184,0.9346,0.9227,0.9109
0.2185,37,0.1153,0.9346,0.9231,0.9115
0.219,37,0.1153,0.9346,0.9231,0.9115
0.2195,37,0.1153,0.9346,0.9231,0.9115
0.22,37,0.1153,0.9346,0.9231,0.9115
0.2205,37,0.1153,0.9346,0.9231,0.9115
0.221,37,0.1153,0.9346,0.9231,0.9115
0.2215,37,0.1153,0.9346,0.9231,0.9115
0.222,37,0.1153,0.9346,0.9231,0.9115
0.2225,37,0.1153,0.9346,0.9231,0.9115
0.223,37,0.1153,0.9346,0.9231,0.9115
0.2235,37,0.1153,0.9346,0.9231,0.9115
0.224,37,0.1153,0.9346,0.9231,0.9115
0.2245,37,0.1153,0.9346,0.9231,0.9115
0.225,37,0.1153,0.9346,0.9231,0.9115
0.2255,37,0.1153,0.9346,0.9231,0.9115
0.226,36,0.1121,0.9346,0.9234,0.9121
0.2265,36,0.1121,0.9346,0.9234,0.9121
0.227,36,0.1121,0.9346,0.9234,0.9121
0.2275,36,0.1121,0.9346,0.9234,0.9121
0.228,36,0.1121,0.9346,0.9234,0.9121
0.2285,36,0.1121,0.9346,0.9234,0.9121
0.229,36,0.1121,0.9346,0.9234,0.9121
0.2295,35,0.109,0.9346,0.9237,0.9128
0.23,35,0.109,0.9346,0.9237,0.9128
0.2305,35,0.109,0.9346,0.9237,0.9128
0.231,35,0.109,0.9346,0.9237,0.9128
0.2315,35,0.109,0.9346,0.9237,0.9128
0.232,35,0.109,0.9346,0.9237,0.9128
0.2325,35,0.109,0.9346,0.9237,0.9128
0.233,35,0.109,0.9346,0.9237,0.9128
0.2335,35,0.109,0.9346,0.9237,0.9128
0.234,35,0.109,0.9346,0.9237,0.9128
0.2345,35,0.109,0.9346,0.9237,0.9128
0.235,35,0.109,0.9346,0.9237,0.9128
0.2355,35,0.109,0.9346,0.9237,0.9128
0.236,35,0.109,0.9346,0.9237,0.9128
0.2365,35,0.109,0.9346,0.9237,0.9128
0.237,35,0.109,0.9346,0.9237,0.9128
0.2375,35,0.109,0.9346,0.9237,0.9128
0.238,35,0.109,0.9346,0.9237,0.9128
0.2385,34,0.1059,0.9346,0.924,0.9134
0.239,34,0.1059,0.9346,0.924,0.9134
0.2395,34,0.1059,0.9346,0.924,0.9134
0.24,34,0.1059,0.9346,0.924,0.9134
0.2405,34,0.1059,0.9346,0.924,0.9134
0.241,34,0.1059,0.9346,0.924,0.9134
0.2415,34,0.1059,0.9346,0.924,0.9134
0.242,34,0.1059,0.9346,0.924,0.9134
0.2425,34,0.1059,0.9346,0.924,0.9134
0.243,34,0.1059,0.9346,0.924,0.9134
0.2435,34,0.1059,0.9346,0.924,0.9134
0.244,34,0.1059,0.9346,0.924,0.9134
0.2445,34,0.1059,0.9346,0.924,0.9134
0.245,34,0.1059,0.9346,0.924,0.9134
0.2455,34,0.1059,0.9346,0.924,0.9134
