threshold,pending_count,pending_ratio,exact_match_acc_human_100%,exact_match_acc_human_90%,exact_match_acc_human_80%
0.696,4,0.0125,0.9128,0.9115,0.9103
0.6965,4,0.0125,0.9128,0.9115,0.9103
0.697,4,0.0125,0.9128,0.9115,0.9103
0.6975,4,0.0125,0.9128,0.9115,0.9103
0.698,4,0.0125,0.9128,0.9115,0.9103
0.6985,4,0.0125,0.9128,0.9115,0.9103
0.699,4,0.0125,0.9128,0.9115,0.9103
0.6995,4,0.0125,0.9128,0.9115,0.9103
0.7,5,0.0156,0.9128,0.9112,0.9097
0.7005,5,0.0156,0.9128,0.9112,0.9097
0.701,5,0.0156,0.9128,0.9112,0.9097
0.7015,5,0.0156,0.9128,0.9112,0.9097
0.702,5,0.0156,0.9128,0.9112,0.9097
0.7025,5,0.0156,0.9128,0.9112,0.9097
0.703,5,0.0156,0.9128,0.9112,0.9097
0.7035,5,0.0156,0.9128,0.9112,0.9097
0.704,5,0.0156,0.9128,0.9112,0.9097
0.7045,5,0.0156,0.9128,0.9112,0.9097
0.705,5,0.0156,0.9128,0.9112,0.9097
0.7055,5,0.0156,0.9128,0.9112,0.9097
0.706,5,0.0156,0.9128,0.9112,0.9097
0.7065,5,0.0156,0.9128,0.9112,0.9097
0.707,5,0.0156,0.9128,0.9112,0.9097
0.7075,5,0.0156,0.9128,0.9112,0.9097
0.708,5,0.0156,0.9128,0.9112,0.9097
0.7085,5,0.0156,0.9128,0.9112,0.9097
0.709,5,0.0156,0.9128,0.9112,0.9097
0.7095,5,0.0156,0.9128,0.9112,0.9097
0.71,5,0.0156,0.9128,0.9112,0.9097
0.7105,5,0.0156,0.9128,0.9112,0.9097
0.711,5,0.0156,0.9128,0.9112,0.9097
0.7115,5,0.0156,0.9128,0.9112,0.9097
0.712,5,0.0156,0.9128,0.9112,0.9097
0.7125,5,0.0156,0.9128,0.9112,0.9097
0.713,5,0.0156,0.9128,0.9112,0.9097
0.7135,5,0.0156,0.9128,0.9112,0.9097
0.714,5,0.0156,0.9128,0.9112,0.9097
0.7145,5,0.0156,0.9128,0.9112,0.9097
0.715,5,0.0156,0.9128,0.9112,0.9097
0.7155,5,0.0156,0.9128,0.9112,0.9097
0.716,5,0.0156,0.9128,0.9112,0.9097
0.7165,5,0.0156,0.9128,0.9112,0.9097
0.717,5,0.0156,0.9128,0.9112,0.9097
0.7175,5,0.0156,0.9128,0.9112,0.9097
0.718,5,0.0156,0.9128,0.9112,0.9097
0.7185,5,0.0156,0.9128,0.9112,0.9097
0.719,5,0.0156,0.9128,0.9112,0.9097
0.7195,5,0.0156,0.9128,0.9112,0.9097
0.72,5,0.0156,0.9128,0.9112,0.9097
0.7205,5,0.0156,0.9128,0.9112,0.9097
0.721,5,0.0156,0.9128,0.9112,0.9097
0.7215,5,0.0156,0.9128,0.9112,0.9097
0.722,5,0.0156,0.9128,0.9112,0.9097
0.7225,5,0.0156,0.9128,0.9112,0.9097
0.723,5,0.0156,0.9128,0.9112,0.9097
0.7235,5,0.0156,0.9128,0.9112,0.9097
0.724,5,0.0156,0.9128,0.9112,0.9097
0.7245,5,0.0156,0.9128,0.9112,0.9097
0.725,5,0.0156,0.9128,0.9112,0.9097
0.7255,5,0.0156,0.9128,0.9112,0.9097
0.726,5,0.0156,0.9128,0.9112,0.9097
0.7265,5,0.0156,0.9128,0.9112,0.9097
0.727,5,0.0156,0.9128,0.9112,0.9097
0.7275,5,0.0156,0.9128,0.9112,0.9097
0.728,5,0.0156,0.9128,0.9112,0.9097
0.7285,5,0.0156,0.9128,0.9112,0.9097
0.729,5,0.0156,0.9128,0.9112,0.9097
0.7295,5,0.0156,0.9128,0.9112,0.9097
0.73,5,0.0156,0.9128,0.9112,0.9097
0.7305,5,0.0156,0.9128,0.9112,0.9097
0.731,5,0.0156,0.9128,0.9112,0.9097
0.7315,6,0.0187,0.9128,0.9109,0.909
0.732,6,0.0187,0.9128,0.9109,0.909
0.7325,6,0.0187,0.9128,0.9109,0.909
0.733,6,0.0187,0.9128,0.9109,0.909
0.7335,6,0.0187,0.9128,0.9109,0.909
0.734,6,0.0187,0.9128,0.9109,0.909
0.7345,7,0.0218,0.9128,0.9106,0.9084
0.735,7,0.0218,0.9128,0.9106,0.9084
0.7355,7,0.0218,0.9128,0.9106,0.9084
0.736,7,0.0218,0.9128,0.9106,0.9084
0.7365,7,0.0218,0.9128,0.9106,0.9084
